YEAR,MONTH,DATE,TIME_INTERVAL,STREET,LATITUDE,LONGITUDE,ACCLASS,INVTYPE,INVAGE,INJURY
2006,3,2006-03-11 05:00:00+00:00,08-09,BLOOR ST W and DUNDAS ST W,43.656345,-79.45249,Fatal,Driver,unknown,
2006,3,2006-03-11 05:00:00+00:00,08-09,BLOOR ST W and DUNDAS ST W,43.656345,-79.45249,Fatal,Pedestrian,65 to 69,Fatal
2006,3,2006-03-11 05:00:00+00:00,09-10,MORNINGSIDE AVE and SHEPPARD AVE E,43.801943,-79.199786,Fatal,Motorcycle Driver,45 to 49,Fatal
2006,1,2006-01-01 05:00:00+00:00,02-03,WOODBINE AVE and O CONNOR DR,43.699595,-79.318797,Non-Fatal Injury,Passenger,50 to 54,Major
2006,3,2006-03-11 05:00:00+00:00,09-10,MORNINGSIDE AVE and SHEPPARD AVE E,43.801943,-79.199786,Fatal,Driver,unknown,
2006,3,2006-03-12 05:00:00+00:00,02-03,EGLINTON AVE E and COMMONWEALTH AVE,43.734945,-79.25619,Fatal,Driver,25 to 29,
2006,1,2006-01-01 05:00:00+00:00,02-03,WOODBINE AVE and O CONNOR DR,43.699595,-79.318797,Non-Fatal Injury,Passenger,15 to 19,Minor
2006,1,2006-01-01 05:00:00+00:00,02-03,WOODBINE AVE and O CONNOR DR,43.699595,-79.318797,Non-Fatal Injury,Driver,55 to 59,Minor
2006,3,2006-03-12 05:00:00+00:00,02-03,EGLINTON AVE E and COMMONWEALTH AVE,43.734945,-79.25619,Fatal,Pedestrian,30 to 34,Minor
2006,3,2006-03-12 05:00:00+00:00,02-03,EGLINTON AVE E and COMMONWEALTH AVE,43.734945,-79.25619,Fatal,Pedestrian,40 to 44,Fatal
2006,1,2006-01-01 05:00:00+00:00,02-03,WOODBINE AVE and O CONNOR DR,43.699595,-79.318797,Non-Fatal Injury,Passenger,20 to 24,Minor
2006,1,2006-01-01 05:00:00+00:00,02-03,WOODBINE AVE and O CONNOR DR,43.699595,-79.318797,Non-Fatal Injury,Passenger,15 to 19,Minor
2006,3,2006-03-12 05:00:00+00:00,19-20,OSSINGTON AVE and DUNDAS ST W,43.649345,-79.42079,Non-Fatal Injury,Driver,30 to 34,
2006,6,2006-06-25 04:00:00+00:00,20-21,29 BLAIR ATHOL Cres,43.667245,-79.54469,Non-Fatal Injury,Passenger,15 to 19,Major
2006,1,2006-01-01 05:00:00+00:00,02-03,WOODBINE AVE and O CONNOR DR,43.699595,-79.318797,Non-Fatal Injury,Passenger,20 to 24,Minor
2006,3,2006-03-12 05:00:00+00:00,19-20,OSSINGTON AVE and DUNDAS ST W,43.649345,-79.42079,Non-Fatal Injury,Pedestrian,25 to 29,Major
2006,6,2006-06-28 04:00:00+00:00,10-11,BIRCHMOUNT RD and MODERN RD,43.744045,-79.28349,Non-Fatal Injury,Vehicle Owner,unknown,
2006,1,2006-01-01 05:00:00+00:00,02-03,WOODBINE AVE and O CONNOR DR,43.699595,-79.318797,Non-Fatal Injury,Vehicle Owner,unknown,
2006,3,2006-03-15 05:00:00+00:00,15-16,ISLINGTON AVE and DIXON RD,43.697045,-79.54669,Fatal,Driver,40 to 44,
2006,6,2006-06-28 04:00:00+00:00,10-11,BIRCHMOUNT RD and MODERN RD,43.744045,-79.28349,Non-Fatal Injury,Driver,45 to 49,
2006,6,2006-06-28 04:00:00+00:00,10-11,BIRCHMOUNT RD and MODERN RD,43.744045,-79.28349,Non-Fatal Injury,Cyclist,30 to 34,Major
2006,6,2006-06-28 04:00:00+00:00,13-14,KING ST W and YORK ST,43.648545,-79.38089,Non-Fatal Injury,Pedestrian,35 to 39,Major
2006,6,2006-06-28 04:00:00+00:00,13-14,KING ST W and YORK ST,43.648545,-79.38089,Non-Fatal Injury,Vehicle Owner,unknown,
2006,6,2006-06-28 04:00:00+00:00,13-14,KING ST W and YORK ST,43.648545,-79.38089,Non-Fatal Injury,Driver,35 to 39,
2006,6,2006-06-28 04:00:00+00:00,17-18,EGLINTON AVE W and GLENHAVEN ST,43.691345,-79.46969,Non-Fatal Injury,Vehicle Owner,unknown,
2006,6,2006-06-28 04:00:00+00:00,17-18,EGLINTON AVE W and GLENHAVEN ST,43.691345,-79.46969,Non-Fatal Injury,Truck Driver,40 to 44,Minimal
2006,6,2006-06-28 04:00:00+00:00,17-18,EGLINTON AVE W and GLENHAVEN ST,43.691345,-79.46969,Non-Fatal Injury,Vehicle Owner,unknown,
2006,6,2006-06-28 04:00:00+00:00,17-18,EGLINTON AVE W and GLENHAVEN ST,43.691345,-79.46969,Non-Fatal Injury,Passenger,20 to 24,Major
2006,6,2006-06-28 04:00:00+00:00,17-18,EGLINTON AVE W and GLENHAVEN ST,43.691345,-79.46969,Non-Fatal Injury,Driver,20 to 24,Minimal
2006,6,2006-06-29 04:00:00+00:00,09-10,WESTON RD and JASPER AVE,43.683745,-79.48249,Non-Fatal Injury,Vehicle Owner,unknown,
2006,6,2006-06-29 04:00:00+00:00,09-10,WESTON RD and JASPER AVE,43.683745,-79.48249,Non-Fatal Injury,Driver,70 to 74,
2006,6,2006-06-29 04:00:00+00:00,09-10,WESTON RD and JASPER AVE,43.683745,-79.48249,Non-Fatal Injury,Cyclist,60 to 64,Major
2006,6,2006-06-30 04:00:00+00:00,00-01,LAWRENCE AVE E and TOWER DR,43.744545,-79.29829,Non-Fatal Injury,Other Property Owner,unknown,
2006,6,2006-06-30 04:00:00+00:00,00-01,LAWRENCE AVE E and TOWER DR,43.744545,-79.29829,Non-Fatal Injury,Passenger,20 to 24,Major
2006,6,2006-06-30 04:00:00+00:00,00-01,LAWRENCE AVE E and TOWER DR,43.744545,-79.29829,Non-Fatal Injury,Passenger,15 to 19,Minor
2006,6,2006-06-30 04:00:00+00:00,00-01,LAWRENCE AVE E and TOWER DR,43.744545,-79.29829,Non-Fatal Injury,Vehicle Owner,unknown,
2006,6,2006-06-30 04:00:00+00:00,00-01,LAWRENCE AVE E and TOWER DR,43.744545,-79.29829,Non-Fatal Injury,Driver,20 to 24,
2006,6,2006-06-30 04:00:00+00:00,09-10,57 ELLESMERE RD and VICTORIA PARK Aven,43.758145,-79.31389,Non-Fatal Injury,Passenger,45 to 49,Major
2006,6,2006-06-30 04:00:00+00:00,09-10,57 ELLESMERE RD and VICTORIA PARK Aven,43.758145,-79.31389,Non-Fatal Injury,Driver,20 to 24,Minor
2006,6,2006-06-30 04:00:00+00:00,09-10,57 ELLESMERE RD and VICTORIA PARK Aven,43.758145,-79.31389,Non-Fatal Injury,Driver,25 to 29,Minimal
2006,6,2006-06-30 04:00:00+00:00,12-13,SENLAC RD and BURNETT AVE,43.765245,-79.42519,Non-Fatal Injury,Vehicle Owner,unknown,
2006,6,2006-06-30 04:00:00+00:00,12-13,SENLAC RD and BURNETT AVE,43.765245,-79.42519,Non-Fatal Injury,Driver,50 to 54,
2006,6,2006-06-30 04:00:00+00:00,12-13,SENLAC RD and BURNETT AVE,43.765245,-79.42519,Non-Fatal Injury,Pedestrian,10 to 14,Major
2006,7,2006-07-04 04:00:00+00:00,16-17,DON MILLS RD and VAN HORNE AVE,43.787345,-79.35299,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-04 04:00:00+00:00,16-17,DON MILLS RD and VAN HORNE AVE,43.787345,-79.35299,Non-Fatal Injury,Truck Driver,30 to 34,
2006,7,2006-07-04 04:00:00+00:00,16-17,DON MILLS RD and VAN HORNE AVE,43.787345,-79.35299,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-04 04:00:00+00:00,16-17,DON MILLS RD and VAN HORNE AVE,43.787345,-79.35299,Non-Fatal Injury,Driver,60 to 64,Major
2006,7,2006-07-04 04:00:00+00:00,18-19,LAKE SHORE BLVD W and SECOND ST,43.602045,-79.49909,Non-Fatal Injury,Driver,unknown,
2006,7,2006-07-04 04:00:00+00:00,18-19,LAKE SHORE BLVD W and SECOND ST,43.602045,-79.49909,Non-Fatal Injury,Pedestrian,unknown,Major
2006,7,2006-07-04 04:00:00+00:00,20-21,LAWRENCE AVE E and OVERTURE RD,43.765445,-79.19949,Non-Fatal Injury,Driver,15 to 19,
2006,7,2006-07-04 04:00:00+00:00,20-21,LAWRENCE AVE E and OVERTURE RD,43.765445,-79.19949,Non-Fatal Injury,Driver,40 to 44,
